codigo_ibge,municipio,populacao,ano_populacao,ano_pib,pib_percapita,taxa_urbanizacao,taxa_cvli,taxa_tentativa_homicidio,taxa_lesao_dolosa,taxa_roubo_outros,taxa_roubo_veiculo,taxa_roubo_carga,taxa_furto_outros,taxa_furto_veiculo,taxa_estupro_total,taxa_trafico,total_ocorrencias_janela,n_ocorrencias,prop_via_publica,prop_noturno,cobertura_periodo,taxa_recuperacao_veiculo,prop_veiculo_motocicleta,prop_celular_em_furto_roubo,iegm_conceito,i_planejamento_conceito,i_fiscal_conceito,i_educ_conceito,i_saude_conceito,i_amb_conceito,i_cidade_conceito,i_gov_ti_conceito,iegm_ord,i_planejamento_ord,i_fiscal_ord,i_educ_ord,i_saude_ord,i_amb_ord,i_cidade_ord,i_gov_ti_ord,iegm_exercicio_ref,iegm_ano_apuracao,flag_sem_iegm,flag_pop_pequena,flag_capital,janela_anos,exposicao_anos,ano_populacao_ref
3545209,Salto,140125,2024,2023,82062.15165031223,98.83784125849655,3.5682426404995544,7.8501338090990185,198.63217365447514,49.47963128159381,12.845673505798395,1.4272970561998215,583.0508474576271,60.66012488849242,28.545941123996435,102.05173951828723,4406,4970,0.5291750503018109,0.4241348713398403,0.2267605633802817,1.599388379204893,0.21406727828746178,0.1420523138832998,C,C,C+,C+,C+,C+,C,C,1.6667,1.0,2.0,2.0,2.0,2.6667,2.3333,2.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3545308,Salto de Pirapora,45138,2024,2023,63281.82462670034,92.75624028527018,5.907808646077953,11.815617292155906,286.52871933478076,76.06303631825365,11.815617292155906,0.0,646.9050467455359,57.601134299260046,42.09313660330542,112.24836427548112,1694,1894,0.39123548046462514,0.5630630630630631,0.23442449841605068,2.0681818181818183,0.36363636363636365,0.1494192185850053,B,C,B,B,B,C+,C,B+,2.3333,1.3333,2.6667,2.6667,3.0,1.6667,1.6667,3.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3545407,Salto Grande,9212,2024,2023,42871.03777681285,93.8342541436464,0.0,10.855405992184108,448.69011434360976,47.0400926327978,10.855405992184108,10.855405992184108,1143.4360978433926,65.13243595310465,50.658561296859176,155.59415255463887,537,620,0.2870967741935484,0.696969696969697,0.1596774193548387,1.5454545454545454,0.18181818181818182,0.10806451612903226,C,C,B,C+,C+,C,C+,C,1.0,1.0,2.3333,1.3333,2.3333,1.0,1.3333,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3545506,Sandovalina,3699,2024,2023,123266.28818599622,69.38271604938272,18.022889069117777,0.0,630.8011174191223,9.011444534558889,0.0,0.0,621.7896728845634,63.08011174191223,27.03433360367667,36.045778138235555,156,173,0.2138728323699422,0.59375,0.18497109826589594,4.0,0.0,0.10404624277456648,C+,C,B,C+,C+,B,C+,C,1.6667,1.3333,3.3333,1.6667,1.6667,2.6667,1.3333,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3545605,Santa Adélia,14203,2024,2023,39452.157994789835,95.5557140818947,4.693844023563098,2.346922011781549,462.34363632096506,25.816142129597036,7.040766035344645,11.734610058907743,643.0566312281443,14.08153207068929,30.50998615316013,140.81532070689292,572,689,0.3468795355587808,0.8120300751879699,0.193033381712627,3.375,0.125,0.07692307692307693,C+,C,C,B,B+,C,C+,A,2.0,1.0,2.0,3.0,3.3333,1.0,2.0,4.3333,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3545704,Santa Albertina,6543,2024,2023,51031.17835855112,87.59580791490693,10.189006062458606,10.189006062458606,361.7097152172806,15.28350909368791,0.0,0.0,285.292169748841,5.094503031229303,45.850527281063734,50.945030312293035,154,187,0.22994652406417113,0.6341463414634146,0.2192513368983957,2.5,0.5,0.0962566844919786,C+,C,B,C,B+,C,C,C,2.0,1.0,3.3333,1.0,3.3333,2.0,1.0,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3545803,Santa Bárbara d'Oeste,189338,2024,2023,57061.93157210914,99.44531407658702,2.4647279820567802,5.633663958986927,239.78282225438105,81.33602340787375,24.6472798205678,1.5844679884650732,658.2584232078786,249.99383818004486,12.851795906438927,215.13554243381324,8473,10163,0.6421332283774476,0.5538573508005823,0.13519630030502805,0.6396284829721363,0.1498452012383901,0.10439830758634261,B,B,C,B,C+,B+,B+,B,2.6667,2.6667,1.3333,3.0,2.0,3.3333,3.6667,3.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3546009,Santa Branca,14212,2024,2023,25158.739093723612,84.89445438282648,14.072614691809738,16.418050473778028,351.81536729524345,25.799793601651185,11.727178909841449,2.34543578196829,804.4844732151234,70.36307345904869,35.181536729524346,65.67220189511211,596,653,0.40428790199081166,0.6619718309859155,0.21745788667687596,0.8,0.14285714285714285,0.09188361408882083,C,C,B+,C,C+,C,C,C,1.0,1.0,3.3333,1.6667,1.3333,1.0,1.0,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3546108,Santa Clara d'Oeste,2677,2024,2023,48768.39745984311,78.32948421862972,0.0,0.0,535.4252272444278,0.0,0.0,0.0,410.9077325364214,12.451749470800648,49.80699788320259,12.451749470800648,82,105,0.2857142857142857,0.4375,0.1523809523809524,,,0.08571428571428572,C+,C,B,B,B,C+,C,C,1.3333,1.0,1.6667,2.3333,2.6667,1.6667,1.0,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3546207,Santa Cruz da Conceição,4365,2024,2023,45931.27147766323,81.2719195697919,0.0,0.0,465.8266513936617,76.36502481863307,30.546009927453223,38.18251240931654,717.8312332951508,76.36502481863307,22.90950744558992,7.636502481863306,188,214,0.4158878504672897,0.574468085106383,0.21962616822429906,1.3888888888888888,0.1111111111111111,0.1588785046728972,C,C,B,C+,B,C,C,C,1.0,1.0,2.6667,2.0,3.0,1.3333,1.3333,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
