codigo_ibge,ano,veic_furtado,veic_roubado,veic_localizado,veic_subtraido,veic_moto,cel_furto,cel_roubo
3511409,2025,12,2,2,14,4,17,5
3511508,2023,50,13,23,63,25,60,30
3511508,2024,35,4,59,39,20,49,21
3511508,2025,36,29,52,65,18,37,43
3511607,2023,9,0,66,9,6,12,40
3511607,2024,10,0,24,10,3,16,3
3511607,2025,6,0,10,6,2,14,6
3511706,2023,4,18,12,22,6,19,10
3511706,2024,1,3,20,4,1,8,9
3511706,2025,5,5,14,10,4,14,3
3511904,2023,2,0,3,2,2,9,2
3511904,2024,0,0,6,0,0,7,4
3511904,2025,0,0,8,0,0,0,0
3512001,2023,6,8,17,14,3,21,10
3512001,2024,6,0,19,6,5,19,5
3512001,2025,6,0,11,6,2,15,10
3512100,2023,1,10,6,11,0,11,3
3512100,2024,3,5,5,8,4,8,9
3512100,2025,2,1,0,3,0,11,1
3512209,2023,25,20,47,45,18,34,41
3512209,2024,19,17,69,36,21,40,27
3512209,2025,17,9,42,26,13,28,11
3512308,2023,15,12,36,27,2,31,24
3512308,2024,5,12,50,17,3,10,36
3512308,2025,10,7,8,17,2,15,10
3512407,2023,34,29,197,63,35,31,31
3512407,2024,23,51,129,74,17,37,58
3512407,2025,44,28,51,72,35,28,21
3512506,2023,2,0,18,2,0,9,0
3512506,2024,1,0,29,1,1,6,8
3512506,2025,0,0,9,0,0,12,0
3512605,2023,2,0,0,2,0,3,0
3512605,2024,1,0,0,1,0,1,0
3512605,2025,2,0,0,2,2,2,0
3512704,2023,11,5,17,16,0,4,1
3512704,2024,4,25,39,29,0,3,9
3512704,2025,4,0,8,4,0,1,3
3512803,2023,144,69,164,213,94,125,116
3512803,2024,138,57,233,195,71,76,81
3512803,2025,105,36,121,141,56,81,69
3512902,2023,0,0,7,0,0,7,0
3512902,2024,0,0,3,0,0,14,0
3512902,2025,1,2,3,3,0,9,0
3513009,2023,482,551,1181,1033,542,551,1464
3513009,2024,465,523,1225,988,541,473,1315
3513009,2025,390,532,1130,922,446,459,1147
3513108,2023,30,4,43,34,6,48,32
3513108,2024,30,4,22,34,7,41,12
3513108,2025,30,6,64,36,16,38,15
3513207,2023,11,18,35,29,6,17,17
3513207,2024,13,12,21,25,6,9,14
3513207,2025,11,10,13,21,5,12,11
3513306,2023,0,0,1,0,0,1,0
3513306,2024,0,0,0,0,0,3,0
3513405,2023,29,7,148,36,18,124,96
3513405,2024,15,20,101,35,17,95,41
3513405,2025,27,6,60,33,26,80,70
3513504,2023,116,455,1235,571,128,183,684
3513504,2024,127,410,737,537,147,186,601
3513504,2025,113,217,391,330,76,195,454
3513603,2023,1,2,22,3,3,10,3
3513603,2024,5,4,4,9,7,10,19
3513603,2025,6,1,22,7,5,16,4
3513702,2023,34,17,37,51,8,46,23
3513702,2024,44,2,22,46,7,40,13
3513702,2025,28,25,33,53,12,33,29
3513801,2023,893,1015,2601,1908,851,943,4180
3513801,2024,869,596,1961,1465,806,866,2407
3513801,2025,962,504,1570,1466,756,778,2055
3513850,2023,1,0,1,1,1,0,0
3513850,2025,0,0,1,0,0,2,0
3513900,2023,10,0,8,10,3,10,0
3513900,2024,7,2,6,9,3,18,0
3513900,2025,0,1,1,1,1,1,0
3514007,2023,6,1,15,7,3,2,6
3514007,2024,4,23,10,27,6,2,13
3514007,2025,7,4,7,11,2,2,0
3514106,2023,9,8,24,17,7,48,6
3514106,2024,4,0,15,4,4,25,5
3514106,2025,4,0,9,4,3,32,0
3514205,2023,0,0,1,0,0,1,0
3514205,2024,0,0,0,0,0,1,0
3514205,2025,0,0,1,0,0,2,0
3514304,2023,1,3,1,4,0,9,6
3514304,2024,2,0,11,2,0,12,5
3514304,2025,3,0,1,3,0,6,0
3514403,2023,13,0,32,13,8,106,2
3514403,2024,12,0,22,12,11,81,1
3514403,2025,4,0,36,4,4,104,3
3514502,2023,1,0,7,1,0,10,1
3514502,2024,1,0,8,1,0,15,0
3514502,2025,5,0,6,5,1,13,1
3514601,2023,13,7,21,20,3,13,9
3514601,2024,7,1,11,8,5,13,6
3514601,2025,7,10,8,17,4,5,6
3514700,2023,1,0,3,1,0,3,1
3514700,2024,0,0,1,0,0,1,1
3514700,2025,2,0,3,2,0,1,1
3514809,2023,1,0,7,1,1,11,0
3514809,2024,3,0,2,3,2,6,3
3514809,2025,10,0,9,10,1,17,16
3514908,2023,4,14,16,18,2,14,52
3514908,2024,8,10,17,18,2,13,12
3514908,2025,12,7,7,19,2,14,5
3514924,2023,0,0,1,0,0,1,1
3514924,2024,0,0,2,0,0,2,2
3514924,2025,2,0,2,2,1,2,0
3514957,2023,0,0,0,0,0,2,0
3514957,2024,2,0,0,2,0,1,0
3514957,2025,0,0,0,0,0,1,0
3515004,2023,269,296,1000,565,252,398,1513
3515004,2024,360,454,1190,814,462,433,1575
3515004,2025,407,430,1040,837,487,406,1409
3515103,2023,53,173,287,226,40,68,409
3515103,2024,62,113,234,175,49,79,170
3515103,2025,53,139,196,192,81,52,163
3515129,2025,0,0,2,0,0,0,0
3515152,2023,16,2,19,18,1,23,16
3515152,2024,9,14,22,23,5,19,3
3515152,2025,14,19,31,33,7,10,24
3515186,2023,14,10,23,24,10,62,18
3515186,2024,30,3,20,33,18,51,11
3515186,2025,17,0,13,17,10,30,9
3515194,2023,1,0,0,1,0,2,0
3515194,2024,3,0,9,3,0,1,0
3515194,2025,0,0,0,0,0,1,3
3515202,2023,7,0,9,7,5,22,1
3515202,2024,2,0,0,2,2,19,2
3515202,2025,5,2,6,7,4,21,0
3515301,2023,0,0,0,0,0,3,0
3515301,2025,0,0,0,0,0,1,0
3515350,2023,1,0,7,1,0,7,0
3515350,2024,4,3,4,7,4,3,1
3515350,2025,1,0,0,1,0,3,0
3515400,2023,12,0,33,12,9,50,0
3515400,2024,11,0,3,11,1,42,2
3515400,2025,4,0,2,4,1,9,2
3515509,2023,21,0,66,21,8,170,7
3515509,2024,37,4,82,41,24,245,10
3515509,2025,44,1,65,45,17,82,10
3515608,2023,6,1,11,7,2,4,1
3515608,2024,13,0,15,13,4,2,6
3515608,2025,7,2,1,9,0,9,4
3515657,2023,0,0,0,0,0,3,0
3515657,2024,0,0,4,0,0,3,0
3515657,2025,0,0,3,0,0,0,0
3515707,2023,406,311,1014,717,210,473,1526
3515707,2024,386,242,922,628,201,331,1178
3515707,2025,322,181,854,503,152,355,866
3515806,2023,1,0,0,1,0,0,0
3515806,2024,0,0,6,0,0,0,0
3515806,2025,0,0,0,0,0,1,0
3515905,2023,1,0,2,1,0,1,0
3515905,2024,2,2,2,4,0,2,0
3515905,2025,2,0,0,2,1,3,0
3516002,2023,0,0,0,0,0,8,0
3516002,2024,0,0,1,0,0,17,0
3516002,2025,3,0,1,3,1,1,0
3516101,2023,0,0,10,0,0,5,2
3516101,2024,1,0,0,1,0,0,0
3516101,2025,0,0,5,0,0,5,0
3516200,2023,364,99,718,463,117,1072,304
3516200,2024,486,116,753,602,204,820,209
3516200,2025,462,47,594,509,159,724,149
3516309,2023,145,127,395,272,163,272,720
3516309,2024,107,166,516,273,172,258,712
3516309,2025,113,115,348,228,130,317,449
3516408,2023,103,160,505,263,149,213,344
3516408,2024,99,205,422,304,224,231,391
3516408,2025,126,143,427,269,140,232,272
3516507,2024,0,0,0,0,0,2,0
3516507,2025,0,0,2,0,0,2,0
3516606,2023,3,0,3,3,0,3,15
3516606,2024,1,0,2,1,1,12,0
3516606,2025,0,0,14,0,0,10,3
3516705,2023,11,0,126,11,4,73,10
3516705,2024,5,8,67,13,2,58,14
3516705,2025,5,0,24,5,5,36,2
3516804,2023,0,0,4,0,0,2,2
3516804,2024,2,0,4,2,0,5,0
3516804,2025,1,0,0,1,0,2,0
3516853,2023,0,1,8,1,1,10,2
3516853,2024,3,0,0,3,1,5,1
3516853,2025,2,0,11,2,0,1,3
3516903,2023,0,0,0,0,0,14,5
3516903,2024,1,0,2,1,0,8,0
3516903,2025,0,0,2,0,0,10,0
3517000,2023,3,0,7,3,0,7,6
3517000,2024,5,0,3,5,0,18,0
3517000,2025,2,0,2,2,0,8,3
3517109,2023,1,0,12,1,0,2,4
3517109,2024,3,0,4,3,2,3,1
3517109,2025,4,0,11,4,4,1,0
3517208,2023,11,2,27,13,1,12,6
3517208,2024,8,2,56,10,2,20,3
3517208,2025,4,0,57,4,3,13,0
3517307,2023,0,0,5,0,0,10,0
3517307,2024,1,0,8,1,0,18,6
3517307,2025,0,0,2,0,0,13,0
3517406,2023,24,10,88,34,13,44,31
3517406,2024,4,3,33,7,1,65,14
3517406,2025,13,3,22,16,8,59,11
3517505,2023,9,1,17,10,3,21,2
3517505,2024,7,0,30,7,3,28,5
3517505,2025,1,1,6,2,2,10,3
3517604,2023,0,0,10,0,0,9,1
3517604,2024,3,2,2,5,2,33,6
3517604,2025,1,0,1,1,0,24,4
3517703,2023,8,20,52,28,8,48,57
3517703,2024,6,20,21,26,6,64,36
3517703,2025,8,8,8,16,2,28,13
3517802,2023,0,0,3,0,0,9,0
3517802,2024,0,0,2,0,0,3,0
3517802,2025,0,0,5,0,0,5,0
3517901,2023,3,5,12,8,0,13,6
3517901,2024,4,0,0,4,1,19,3
3517901,2025,2,1,2,3,0,13,0
3518008,2023,0,0,4,0,0,0,0
3518008,2024,0,0,1,0,0,1,0
3518008,2025,2,0,0,2,0,0,0
3518107,2023,0,0,9,0,0,7,0
3518107,2024,1,0,3,1,1,2,2
3518107,2025,1,3,19,4,2,7,8
3518206,2023,5,1,24,6,2,30,7
3518206,2024,30,0,27,30,27,38,3
3518206,2025,3,0,31,3,3,31,9
3518305,2023,5,64,186,69,3,49,77
3518305,2024,5,29,90,34,4,73,56
3518305,2025,17,24,111,41,12,40,55
3518404,2023,59,40,162,99,50,232,142
3518404,2024,60,29,166,89,50,195,129
3518404,2025,48,22,191,70,46,141,76
3518503,2023,3,0,5,3,2,7,4
3518503,2024,2,0,9,2,1,13,0
3518503,2025,3,0,1,3,3,13,0
3518602,2023,34,38,137,72,18,43,94
3518602,2024,39,37,90,76,29,54,63
3518602,2025,18,18,69,36,11,52,51
3518701,2023,223,89,782,312,98,1019,2664
3518701,2024,159,50,429,209,77,1403,1382
3518701,2025,186,40,390,226,119,691,949
3518800,2023,2775,1968,5356,4743,1033,3468,6678
3518800,2024,3024,2039,5527,5063,1477,3340,5857
3518800,2025,2808,1738,4780,4546,1247,3305,4332
3518859,2023,2,9,27,11,5,8,11
3518859,2024,10,3,1,13,1,10,3
3518859,2025,2,2,6,4,3,7,0
3518909,2023,1,0,0,1,0,4,27
3518909,2024,0,0,6,0,0,5,0
3518909,2025,0,0,5,0,0,1,0
3519006,2023,1,0,3,1,1,6,0
3519006,2024,1,0,2,1,1,6,0
3519006,2025,1,0,5,1,0,6,0
3519055,2023,6,3,16,9,2,13,2
3519055,2024,10,1,16,11,4,10,9
3519055,2025,8,3,2,11,4,19,2
3519071,2023,481,618,1093,1099,403,446,1373
3519071,2024,450,305,1012,755,331,376,771
3519071,2025,537,176,858,713,270,307,483
3519105,2023,6,0,11,6,2,23,0
3519105,2024,3,0,14,3,1,12,1
3519105,2025,3,0,5,3,2,12,0
3519204,2023,1,0,2,1,1,8,0
3519204,2024,0,2,6,2,0,9,6
3519204,2025,1,0,0,1,0,3,0
3519253,2023,1,0,13,1,0,4,1
3519253,2024,0,0,2,0,0,2,0
3519253,2025,1,0,1,1,1,5,8
3519303,2023,18,4,44,22,7,23,19
3519303,2024,31,2,41,33,10,36,23
3519303,2025,14,8,57,22,2,42,17
